x;horodate;conso;prod
311;2017-01-07 11:30:00;53988,972722970364;24297,143744064295
312;2017-01-07 12:00:00;51818,65797306426;32487,381732536858
313;2017-01-07 12:30:00;49637,841901044456;32752,583371555174
314;2017-01-07 13:00:00;59295,621966364175;59921,31138302072
315;2017-01-07 13:30:00;56878,47084108919;58777,15664943426
316;2017-01-07 14:00:00;53767,332208883614;53846,952114475884
317;2017-01-07 14:30:00;49823,20718122729;42554,98263401973
318;2017-01-07 15:00:00;56240,61953134833;35295,35069879976
319;2017-01-07 15:30:00;55650,29853467557;24704,573489140657
320;2017-01-07 16:00:00;52553,18315773769;14757,654552656015
321;2017-01-07 16:30:00;52752,12699809806;6118,908274710793
322;2017-01-07 17:00:00;51104,53213125362;974,0801957829149
323;2017-01-07 17:30:00;54123,428027515714;640,9060069955225
324;2017-01-07 18:00:00;56047,98059493325;641,8520450629591
325;2017-01-07 18:30:00;57602,59897111826;641,8520450629591
326;2017-01-07 19:00:00;57811,657821194705;642,8111259314468
327;2017-01-07 19:30:00;57032,7395343073;642,8111259314468
328;2017-01-07 20:00:00;56413,44537162855;642,8111259314468
329;2017-01-07 20:30:00;55371,759097206224;641,8520450629591
330;2017-01-07 21:00:00;53682,55078625471;640,8929641944713
331;2017-01-07 21:30:00;52522,59086367431;641,8520450629591
332;2017-01-07 22:00:00;61798,197039380546;637,0566407205206
333;2017-01-07 22:30:00;61447,66771313302;636,097559852033
334;2017-01-07 23:00:00;60148,49584483882;636,097559852033
335;2017-01-07 23:30:00;58408,94118092522;638,974802457496
336;2017-01-08 00:00:00;55021,55787688281;641,8520450629591
337;2017-01-08 00:30:00;53766,4133855741;644,7292876684221
338;2017-01-08 01:00:00;63087,36726521344;644,7292876684221
339;2017-01-08 01:30:00;60599,87511774896;644,7292876684221
340;2017-01-08 02:00:00;58197,20957820129;644,7292876684221
341;2017-01-08 02:30:00;56017,90851743745;643,7702067999345
342;2017-01-08 03:00:00;62452,23507654198;641,8520450629591
343;2017-01-08 03:30:00;60368,70008455617;638,0287643900595
344;2017-01-08 04:00:00;57820,25829871708;633,2203172465698
345;2017-01-08 04:30:00;56760,332890215795;627,4658320356438
346;2017-01-08 05:00:00;56014,17947805062;625,5476702986683
347;2017-01-08 05:30:00;54310,38282290481;627,4658320356438
348;2017-01-08 06:00:00;50481,64050332527;630,3430746411068
349;2017-01-08 06:30:00;50654,36592613156;636,097559852033
350;2017-01-08 07:00:00;50833,55804234455;637,0566407205206
351;2017-01-08 07:30:00;51035,5394254819;639,9469261270348
352;2017-01-08 08:00:00;49134,85760053915;640,0763308417754
353;2017-01-08 08:30:00;49986,20818437537;874,6637615221406
354;2017-01-08 09:00:00;49958,18462329358;3840,418798564161
355;2017-01-08 09:30:00;48328,50580055621;20267,436980631246
356;2017-01-08 10:00:00;48801,842545398395;23634,341098643647
357;2017-01-08 10:30:00;49714,63052748678;18186,678002269095
358;2017-01-08 11:00:00;48244,11069007832;14196,641523897531
359;2017-01-08 11:30:00;46906,38382271204;28906,096214990805
360;2017-01-08 12:00:00;44054,8297169181;58588,06960584861
361;2017-01-08 12:30:00;42562,44225932665;64841,38743581925
362;2017-01-08 13:00:00;50930,3578888051;63785,77231474886
363;2017-01-08 13:30:00;48558,269978215634;60796,74201882739
364;2017-01-08 14:00:00;45684,46072898497;55895,38684219865
365;2017-01-08 14:30:00;42191,87559789649;48091,32899592039
366;2017-01-08 15:00:00;48369,0607756236;37344,94279778343
